threshold,hybrid_token_f1,hybrid_fuzzy,extractive_count,generative_count,extractive_rate
-0.75390625,0.6825893054104883,0.8270037268288943,95,65,0.59375
-0.62353515625,0.6790566967148361,0.8249203934955609,94,66,0.5875
-0.58056640625,0.6785499399580793,0.8249203934955609,93,67,0.58125
-0.5634765625,0.6776570828152222,0.8249203934955609,92,68,0.575
-0.54541015625,0.6832126383707777,0.8286601475939218,91,69,0.56875
-0.489990234375,0.6794626383707778,0.8269360096628873,90,70,0.5625
-0.373291015625,0.6773793050374444,0.8269360096628873,89,71,0.55625
-0.2369384765625,0.6730824300374444,0.8244903574889741,88,72,0.55
-0.1875,0.6730226500278796,0.8244993220788441,87,73,0.54375
-0.174072265625,0.6767274011591013,0.8265231316026537,86,74,0.5375
-0.1715087890625,0.6771893576808404,0.8270786871582093,85,75,0.53125
-0.0787353515625,0.6748679291094118,0.8270786871582093,84,76,0.525
-0.06689453125,0.6811179291094118,0.8315550385095605,83,77,0.51875
0.05462646484375,0.6844174786589614,0.835317549883537,82,78,0.5125
0.1363525390625,0.688773539265022,0.8379037567800888,81,79,0.50625
0.1387939453125,0.6873312315727144,0.8379037567800888,80,80,0.5
0.162353515625,0.6864866369781197,0.8379037567800888,79,81,0.49375
0.215087890625,0.6906533036447865,0.84050011185508,78,82,0.4875
0.26220703125,0.6875283036447865,0.83975011185508,77,83,0.48125
0.392578125,0.6863149336814164,0.8392570863620545,76,84,0.475
0.43408203125,0.6863149336814164,0.8392570863620545,75,85,0.46875
0.472900390625,0.680468159487868,0.8355963720763402,74,86,0.4625
0.517578125,0.6815258517955604,0.8367218091392772,73,87,0.45625
0.5966796875,0.6784008517955604,0.8348532524382464,72,88,0.45
0.611328125,0.6784008517955604,0.8348532524382464,71,89,0.44375
0.6298828125,0.6809008517955604,0.8370862360271619,70,90,0.4375
0.658203125,0.6765739287186373,0.8349025010874029,69,91,0.43125
0.77587890625,0.6823239287186373,0.8387331462486933,68,92,0.425
0.783203125,0.687258139244953,0.840144436571274,67,93,0.41875
0.80810546875,0.6847581392449531,0.839394436571274,66,94,0.4125
0.8251953125,0.6803831392449531,0.836394436571274,65,95,0.40625
0.8623046875,0.6855617106735246,0.8391869897627634,64,96,0.4
