threshold,hybrid_token_f1,hybrid_fuzzy,extractive_count,generative_count,extractive_rate
-0.54541015625,0.6620345760784634,0.808999238262167,91,69,0.56875
-0.489990234375,0.6582845760784634,0.8072751003311325,90,70,0.5625
-0.373291015625,0.6565345760784634,0.8072751003311325,89,71,0.55625
-0.2369384765625,0.6523679094117967,0.8046776977337299,88,72,0.55
-0.1875,0.6523606504106352,0.8043949008204982,87,73,0.54375
-0.174072265625,0.6560654015418569,0.8064187103443079,86,74,0.5375
-0.1715087890625,0.656527358063596,0.8069742658998633,85,75,0.53125
-0.0787353515625,0.655777358063596,0.8069742658998633,84,76,0.525
-0.06689453125,0.662027358063596,0.8114506172512147,83,77,0.51875
0.05462646484375,0.6659376144738525,0.8146104500537625,82,78,0.5125
0.1363525390625,0.6702936750799131,0.8171966569503141,81,79,0.50625
0.1387939453125,0.6688513673876054,0.8171966569503141,80,80,0.5
0.162353515625,0.6680067727930108,0.8171966569503141,79,81,0.49375
0.215087890625,0.6721734394596774,0.8197930120253055,78,82,0.4875
0.26220703125,0.6699412966025345,0.8190430120253055,77,83,0.48125
0.392578125,0.6687279266391647,0.8185499865322801,76,84,0.475
0.43408203125,0.6681597448209828,0.8185499865322801,75,85,0.46875
0.472900390625,0.6623407793037415,0.8149922942245876,74,86,0.4625
0.517578125,0.6626841858971481,0.8150202891055237,73,87,0.45625
0.5966796875,0.659559185897148,0.8131517324044928,72,88,0.45
0.611328125,0.659559185897148,0.8131517324044928,71,89,0.44375
0.6298828125,0.6613449001828624,0.8140619646706572,70,90,0.4375
0.658203125,0.6570179771059392,0.8118782297308981,69,91,0.43125
0.77587890625,0.6627679771059393,0.8157088748921885,68,92,0.425
0.783203125,0.6677021876322551,0.817120165214769,67,93,0.41875
0.80810546875,0.6656188542989216,0.8163701652147692,66,94,0.4125
0.8251953125,0.6612438542989217,0.8133701652147691,65,95,0.40625
0.8623046875,0.6657279812830487,0.8161627184062585,64,96,0.4
0.88671875,0.6676628707179381,0.81859703380229,63,97,0.39375
0.9306640625,0.6696691649744291,0.8202702091322118,62,98,0.3875
0.93994140625,0.6721312861865503,0.8211481355536165,61,99,0.38125
0.9404296875,0.6681961010013652,0.8189198746840513,60,100,0.375
1.064453125,0.6737516565569207,0.8227708847850614,59,101,0.36875
1.16796875,0.6681961010013652,0.8193434654302226,58,102,0.3625
1.1875,0.6681961010013652,0.8193434654302226,57,103,0.35625
1.201171875,0.6684411990405807,0.8199900171543607,56,104,0.35
1.2119140625,0.6695986064479882,0.8218778020754595,55,105,0.34375
1.294921875,0.6639167882661701,0.8188254764940641,54,106,0.3375
1.298828125,0.6639167882661701,0.8188254764940641,53,107,0.33125
1.3173828125,0.6622122428116246,0.8188254764940641,52,108,0.325
1.3720703125,0.659608076144958,0.8181724914194373,51,109,0.31875
1.3955078125,0.6571624239710449,0.8168263375732833,50,110,0.3125
1.5205078125,0.6576832573043782,0.8175901985616321,49,111,0.30625
1.529296875,0.6554957573043783,0.8156549282160356,48,112,0.3
1.5634765625,0.6611908792555978,0.8194578382689457,47,113,0.29375
1.6494140625,0.6605860405459203,0.8194578382689457,46,114,0.2875
1.66796875,0.6644803760579029,0.8222029363081613,45,115,0.28125
